,y,z,alpha,R,Time Step,flow-time,Eloss,Ekin,max-skewness,TVPG,ven-vol,flow-av,flow-mv,WSS,wss-1,wss-2,wss-3,wss-4,wss-5,wss-6,wss-7,wss-8,wss-9,wss-10,wss-11,wss-12,wss-13,wss-14,wss-15,wss-16,wss-17,mv-pressure-drop
12,-6.375,51.475,-5.125,4.4375,960.5,2.229157214999979,2.1697070032449287e-05,0.0010515498612412436,0.8971803938127165,70.99856081163152,1.2090234600542761e-05,1.6971147385149028e-05,-1.4929060128007552e-05,3.767861490635689,2.927246071681197,11.594445778907211,12.428449100598556,2.8341313670761608,4.734265225420631,4.89038494029568,1.9480832035664202,2.5186997701529137,3.1864911823864173,2.343866544285051,2.9378169828192005,3.1330633441215614,3.9626319451639516,5.563106765698895,4.294151795191265,4.22959442003038,2.5092457996080646,570.3719775876309
13,-6.325,52.475,-6.625,4.2625,960.5,2.229157214999979,2.6161468309272013e-05,0.001142940428342883,0.8580719833338283,82.03849753497434,1.212607062439966e-05,1.6792193749451088e-05,-1.4821198704390807e-05,4.124294967262767,2.761545269376557,12.681946387354474,13.112803698063212,2.9318144052696553,6.117272832326503,5.8600391503392055,1.9681321000695209,2.8521341449422932,3.2043132120223046,2.2798547175753705,3.167014065732409,3.2544041601836318,4.182450950659194,6.3868407712259625,4.607834138054838,5.174468565648392,3.628362612033672,585.0774089209909
14,-6.275,49.225,5.125,2.7125,960.5,2.229157214999979,5.5844279933954e-05,0.001905297745790087,0.9017324985911467,200.13252739420392,1.1847111573166498e-05,-1.5277794491147614e-05,1.3450072744920608e-05,5.457023939311024,4.01562338556218,11.785113336247234,12.73692724616139,3.7144674087642295,6.0064017024961815,6.360705859481675,2.4768650032991024,3.0140513692184348,3.9357062469993096,3.519816746572229,2.897712043996474,2.603711466845459,8.043245379706166,11.454004808726818,8.059238440761868,6.50068039370792,10.361142373045746,192.91720630808464
15,-6.225,50.225,0.625,3.8625,960.5,2.229157214999979,2.6178134881744712e-05,0.0012435737278651817,0.9011481718973743,144.7650426753165,1.1933686232277997e-05,-1.66276195322257e-05,1.4557196002372193e-05,3.9617582795401263,3.2979417773224804,10.80688881759542,11.340266752604341,2.893612879764283,3.921323986047452,4.027211964882071,2.1560690403619835,2.800637008869101,3.1890359007364375,2.60807198814054,2.545874353725596,2.4577186572847913,4.791153270765386,7.289413212982489,5.611176728100558,4.798896862368466,5.113916387617404,503.05853276470737
16,-6.175,50.775,-2.875,3.1625,960.5,2.229157214999979,4.967220636764545e-05,0.0018240483928255893,0.863217498906855,223.76579956131928,1.1942013964698645e-05,-1.593941547018182e-05,1.3982004219049116e-05,5.695563789427371,3.892061424372558,12.279319668149082,12.56867769803252,3.4998771278731566,6.2045270275911895,6.532356846985453,2.358172790407525,3.92376179838128,4.6726002681066605,3.1616159022030996,3.426291662232763,3.9776496696272288,5.626699245479115,11.641808621170982,6.895126682922461,11.104214239157894,7.583632039459946,372.2476721208522
17,-6.125,52.075,-2.125,2.6125,960.5,2.229157214999979,8.980850625015938e-05,0.00251152210297689,0.8717525180407614,279.0686203326106,1.200343240797979e-05,-1.5017945754974832e-05,1.3299466968409395e-05,7.783527109362315,4.829880132758998,14.309552441407247,14.775934057936222,4.495302541441453,10.392328558350886,10.7498062007118,3.2712833418650744,3.8134835493966723,6.962622669572756,3.978198011890275,5.602346544594877,6.356977508218962,7.4468699445499915,14.193681904699552,8.14066096080979,18.116895290511795,10.419237549753685,167.13451261629737
18,-6.075,49.875,-0.875,2.6625,960.5,2.229157214999979,6.285420041483295e-05,0.002170542064318254,0.8644436809077781,267.4028237833507,1.1871087876471549e-05,-1.5185902175784646e-05,1.3362387354649184e-05,6.204733790170256,4.9405688943323955,12.838124752633686,13.67338340974902,4.470963758788156,7.200020089081403,8.381525126923778,2.674212665759895,3.6759645097213354,6.27833426197651,3.3801285747026744,3.100265544058355,3.3910595188526833,6.760645364994611,12.972792560853465,8.149104897594313,10.671298851432645,8.557095924134263,143.01298997920972
19,-6.025,50.925,-7.875,4.1625,960.5,2.229157214999979,2.5379096150012033e-05,0.0011786765508637056,0.8915482610249121,84.62738105057942,1.2043307194206875e-05,-1.682623272734496e-05,1.4770759537062806e-05,4.231661460247397,3.637393214605601,11.719391471227466,12.171774034478936,3.121942642766697,4.700539984405679,4.876179159740667,2.4535827146754854,2.7477855085523837,3.5820278422651195,3.1049561186795405,3.688999096727893,4.189223039090452,3.8356677730718745,6.506626222165072,4.794036067327664,5.245984169226573,3.7314624018818514,556.8739260252495
20,-5.975,52.725,3.375,3.0125,960.5,2.229157214999979,5.242057627177685e-05,0.0018452873210031719,0.8951836296936028,215.53646879279822,1.2030359615393037e-05,-1.5727561174733232e-05,1.3810807288818286e-05,5.54381685371504,4.223414044929575,13.996377397833593,14.395689554408213,3.427550863829756,7.488365721169989,6.845569794317592,2.546719802311318,3.486518008866559,3.764235356992309,2.918963406571451,2.6528463551241743,3.055323970932287,6.467680919645398,10.983287648099495,7.127561540005841,9.223595042298815,8.461822733113141,372.9571560256259
21,-5.925,51.975,-3.375,2.6375,960.5,2.229157214999979,9.370230342238138e-05,0.0023237242160348607,0.885576429408228,274.5888016434214,1.1977732115919467e-05,-1.5052118299607417e-05,1.3302282321793204e-05,7.896001369940968,3.940910023474615,13.548886204503296,14.500918787112742,4.011228829009825,11.460877341898906,10.50353586333714,2.4403690128020235,4.395557226908702,5.94376818143658,3.4302108269809706,6.334656692662889,6.224104946351157,8.781054057059805,13.594562672103983,8.092096937799267,21.224718361169984,10.494514233789682,129.1405283260117
22,-5.875,52.675,-5.375,2.7875,960.5,2.229157214999979,8.983767926595403e-05,0.002123988557017022,0.8965871048082709,222.71099726370508,1.2030746266015289e-05,-1.5243015974917864e-05,1.3493352450463262e-05,7.574758120644105,3.7778602072118037,12.77222746030847,14.041468669714417,3.195369623678153,13.7885306381294,11.553902421228626,3.0855487364498284,4.993450121187275,3.995786600951256,3.1306822320495185,7.381753883694666,6.97491598845705,7.347033397783405,11.704641088197565,7.622650277123735,19.67677829427978,8.61494488815302,232.79831105171488
