Fold,Model,Timing,r2_score_WSS,MAE_WSS,RMSE_WSS,MAPE_WSS,MAXE_WSS,r2_score_Eloss,MAE_Eloss,RMSE_Eloss,MAPE_Eloss,MAXE_Eloss,r2_score_Ekin,MAE_Ekin,RMSE_Ekin,MAPE_Ekin,MAXE_Ekin,r2_score_TVPG,MAE_TVPG,RMSE_TVPG,MAPE_TVPG,MAXE_TVPG,r2_score_wss-1,MAE_wss-1,RMSE_wss-1,MAPE_wss-1,MAXE_wss-1,r2_score_wss-2,MAE_wss-2,RMSE_wss-2,MAPE_wss-2,MAXE_wss-2,r2_score_wss-3,MAE_wss-3,RMSE_wss-3,MAPE_wss-3,MAXE_wss-3,r2_score_wss-4,MAE_wss-4,RMSE_wss-4,MAPE_wss-4,MAXE_wss-4,r2_score_wss-5,MAE_wss-5,RMSE_wss-5,MAPE_wss-5,MAXE_wss-5,r2_score_wss-6,MAE_wss-6,RMSE_wss-6,MAPE_wss-6,MAXE_wss-6,r2_score_wss-7,MAE_wss-7,RMSE_wss-7,MAPE_wss-7,MAXE_wss-7,r2_score_wss-8,MAE_wss-8,RMSE_wss-8,MAPE_wss-8,MAXE_wss-8,r2_score_wss-9,MAE_wss-9,RMSE_wss-9,MAPE_wss-9,MAXE_wss-9,r2_score_wss-10,MAE_wss-10,RMSE_wss-10,MAPE_wss-10,MAXE_wss-10,r2_score_wss-11,MAE_wss-11,RMSE_wss-11,MAPE_wss-11,MAXE_wss-11,r2_score_wss-12,MAE_wss-12,RMSE_wss-12,MAPE_wss-12,MAXE_wss-12,r2_score_wss-13,MAE_wss-13,RMSE_wss-13,MAPE_wss-13,MAXE_wss-13,r2_score_wss-14,MAE_wss-14,RMSE_wss-14,MAPE_wss-14,MAXE_wss-14,r2_score_wss-15,MAE_wss-15,RMSE_wss-15,MAPE_wss-15,MAXE_wss-15,r2_score_wss-16,MAE_wss-16,RMSE_wss-16,MAPE_wss-16,MAXE_wss-16,r2_score_wss-17,MAE_wss-17,RMSE_wss-17,MAPE_wss-17,MAXE_wss-17
1,RF,0.148392915725708,-0.43941761046535865,0.39714886224066526,0.4825534187725035,0.09638037846816179,0.9813113213382483,0.663224791626746,3.357468064142285e-06,3.605025491945126e-06,0.11955304520233855,5.4822282842486545e-06,0.6226950692038551,9.586789697997158e-05,0.00010477053819682146,0.07830591202364148,0.00018444609715595603,0.8813474990592842,10.623904362737118,12.394295944882925,0.08846139860666163,19.975992906766393,-1.2805698383193151,0.25923213140541435,0.34107417664981365,0.07874220043790109,0.5891716188178493,0.4101682760493537,0.3385862297124491,0.42006426784382084,0.02855483780968162,0.7842004326149574,0.49076524298789836,0.30543551088842835,0.3391617526937735,0.024722109115256574,0.6265750140127722,-0.16371858045069376,0.29441148982831666,0.32329060695305184,0.09978814205460085,0.48619694341941866,-0.36961948185029425,0.5244038244290395,0.6631144772082,0.12333741443952133,1.2399451717059558,-1.7128714947722785,0.7451974835343927,0.8585451464797073,0.1674143584829597,1.4583719334038951,-1.3040591941665647,0.2616451526743713,0.31197726904054984,0.12883714908250837,0.5438505398180999,-0.09534510262269347,0.25975783398570257,0.46947165939430535,0.11619949138774298,1.2197557422326892,0.356281470444369,0.3553731508097648,0.45006361050052585,0.12211322410357937,0.8240261470385453,-0.13658504479213707,0.1946034016123572,0.3048151858980181,0.06961689646757308,0.6316782903366405,0.2246249400260698,0.38244714968250415,0.5132968220564655,0.14647421502591076,1.1544163758734203,0.7169929134210447,0.3608781492141483,0.4074514968025502,0.15642960211859414,0.6184538324658861,0.49737353717712696,0.6366270922468643,0.854940280275017,0.15129237029000064,1.8549572307123308,0.7998865987538459,0.5748173832408432,0.6784455026956363,0.09457561142145085,1.0245208438670232,0.6427993082703722,0.514255092708847,0.6459864084125331,0.09802363648223239,1.4817119942735433,-2.368729544361315,0.6998713365308994,1.011636484091499,0.13158318456650892,2.497200135507839,0.8210026784986827,0.48165946060838777,0.5987897203086767,0.10199256725841432,1.0724728992302976
2,RF,0.13803625106811523,0.6298454094059097,0.546015765280792,0.7412165622734759,0.11220672928329405,1.7672411118013232,0.7078971627080224,5.662006951629816e-06,8.625751602280448e-06,0.13082667366282752,2.1728937083126013e-05,0.8853224815230594,0.00011132955774682537,0.00012616374315650892,0.0837286293464741,0.00022991206703968812,0.9162547234606239,9.820017644588479,12.220746949934687,0.06655826486150776,27.72903222841964,0.49882926947181216,0.4266393689750004,0.5420833086226722,0.11777610692563897,0.9800004477007529,0.7078282702395271,0.4422669799391401,0.5180097653723345,0.037619396318951545,0.9231154139881781,0.8934004023829484,0.226714477219655,0.30349937077010286,0.01867729362841513,0.6641104240941829,0.5866248907734813,0.3036092372244096,0.3510070464093403,0.09602874229396732,0.6953326972970078,0.378003313309773,1.0594256666732735,1.462425895555027,0.17362968372822893,3.1390637403284956,0.2810197625512273,1.1453328394319702,1.9531482047637443,0.16163349956308237,5.046971313133209,0.27821517823922703,0.22652691384580237,0.3738234349800965,0.08302661870042966,0.9628219201491892,0.67279551369818,0.23596345250996187,0.28062909628453353,0.09268350432106012,0.47307208016511293,0.036134300423923515,0.5587810549903671,1.0130224900227973,0.14191610628972492,2.7636635633577367,0.9242299824052125,0.12934874458466153,0.16154839294052656,0.051417066889357564,0.23342627240629632,0.23314287454494942,0.7514836042838406,1.4921705647561379,0.16325366480141218,4.108280326144018,-0.011108497661717953,1.410933546707684,3.025253976110945,0.2267063578188749,8.45580846033782,0.8188341562871833,0.31541423979985356,0.49715245250282225,0.05920436254415147,1.2353026766648352,0.7061033671976982,0.9607976072295104,1.2854561122851458,0.15094239870352522,2.937724091290466,0.8265773818497797,0.5137813870576796,0.6529518291579132,0.10962988022568323,1.172823667364784,0.5302009934218541,1.5347584399464265,2.105545369517609,0.2139753839891306,4.994222671837511,0.8908567728343584,0.6301883897861194,0.6773662138944163,0.14493526605624876,0.9609939707456681
3,RF,0.14953207969665527,0.7951746578343484,0.2715510051878399,0.38437608214442265,0.05992471594807953,0.8028449033596337,0.9128913805311424,3.5025148933473246e-06,3.929533560427028e-06,0.09736494891411132,7.043978292484636e-06,0.9282407596332426,7.779515659373669e-05,9.706058093607254e-05,0.06048902380663515,0.00020526162478981666,0.8823680527994977,14.518378728572912,19.170941619051813,0.08760274029543158,37.52968431282815,0.8506173016677696,0.18064497957000142,0.25546896091905497,0.05605065751374508,0.5023682588280467,0.7353306875143474,0.3532211952987987,0.4586491092832114,0.030960805090152022,0.8536602434521274,0.9042347339063298,0.2555461838298254,0.26694912360832296,0.020937973154308412,0.39787552232318646,0.5091033319067071,0.2811291483230048,0.31357492243568397,0.08248904270678457,0.46947584607104,0.22037889305328684,0.8512457116902956,1.2561843649412077,0.13324928195319768,3.1097657315341554,0.6359092617740018,0.6388025043289016,0.8603414413587018,0.10705492541116973,2.0439721688560812,0.048908790128742274,0.3004872917317295,0.3738142293172602,0.14758032799702037,0.8594399002284696,0.6474390850892954,0.2574237508836308,0.339376377060208,0.10633841374063022,0.6654016139344932,0.8083514755783885,0.30524237341646865,0.3934876103489894,0.08436168405557248,0.8085380494824479,0.6808568851742196,0.20639897061750817,0.3020427453822709,0.06631621055643505,0.5754455035354891,0.463277981564691,0.4271438105480922,0.6366725719499957,0.1405517232214607,1.5607614452413965,0.41528686031712303,0.5174927846784669,0.6876109606123917,0.20895732395127714,1.5247570376114763,0.7276942214812813,0.6178059071466534,0.7676864869057516,0.10954792494762826,1.2939176681625817,0.7881531879248875,1.014779990014698,1.157235423399996,0.1418275500389245,1.996339562656777,0.9533717523320344,0.25295099085055917,0.31067941762904977,0.03838906151478406,0.5236198857815975,-0.15318695197309662,1.625000399114891,2.023868220294897,0.29193232556271576,4.074893213709655,0.9106535793776965,0.4888378931410528,0.7496494754959994,0.06625899079518743,1.9596535848635277
4,RF,0.14482879638671875,0.910569780411492,0.30782991816699706,0.43863141367640157,0.06546331132718829,0.9989322466615036,0.9105401600090461,3.4658550210290375e-06,6.3181710962366924e-06,0.08564906303113115,1.7056439796963083e-05,0.9415409392679499,8.52214592941358e-05,9.636935374232008e-05,0.07425275344555345,0.00018415913813970154,0.7519076922456829,14.02684759679178,21.188856638669595,0.08108754265550908,53.17067723892404,0.8792073896024434,0.2366290919599343,0.27750587540933164,0.07514484593184526,0.47689600949815114,0.43731213412566305,0.39811170402562457,0.4727454470689929,0.03263798449771002,0.7288137432971631,0.4116841837999943,0.2910185128154543,0.5124664560337356,0.02316629979475739,1.368002424520192,0.7521889362109204,0.21888656835356118,0.2737984917092236,0.07731375735003225,0.5029378596693781,0.9381758160146078,0.4916245679820987,0.6542001077890386,0.11969915480442654,1.2799072477380538,0.711462774470472,0.7357362520298802,1.412279630811952,0.10291496093515301,3.88615777528386,0.7710103972368815,0.17996345956591878,0.19533858858139228,0.09150557030791066,0.33230176771246867,0.7837936650384281,0.42014051077325004,0.5137983269179547,0.1555703496813401,1.110466169015318,0.8322393902594589,0.358837901120732,0.47645956066348405,0.09933317361471605,1.063714236204067,0.6982087664029699,0.222956376038399,0.2682655802027018,0.09231872764072635,0.5308450296391864,0.8189784836830493,0.5486772253477551,0.8554741670249035,0.1568398465610084,2.2115805114479112,0.8220261913644094,0.5837007240893216,1.1091142189703413,0.13931745019625857,3.047240148202662,0.8233916756165789,0.40327831228502053,0.5415914110549214,0.07414951773791956,1.1446033479839652,0.8820884697657448,0.8082942873624118,1.0160005490200772,0.13470927083454473,1.7958294605165888,0.885209764158323,0.3357561251687997,0.4372614177320891,0.06857218683570694,0.965390776897114,0.8603677322659,1.211538798255801,1.868480321004351,0.1414362401465164,4.794216602410737,0.9726624573696773,0.24616825847813883,0.31168483059633695,0.046847569555171595,0.5335235866750612
5,RF,0.14318466186523438,0.7167682869860194,0.6242849149229822,0.8141522924853506,0.10304995660742616,1.6341062521145338,0.7297536598054315,9.580338247306244e-06,1.3628868077135079e-05,0.1589076735075373,2.6343458067234495e-05,0.9043309474490249,0.00011709963884227697,0.00015699589204291726,0.06216082008527249,0.00033914058014673874,0.9107635300195871,18.59332627941918,20.802400217322884,0.12470356110416633,33.342873982082494,0.7215754760829594,0.3096490146332861,0.342155183042116,0.08596122042241336,0.5705972498156369,0.7574403074188416,0.591375462858104,0.7370708867695213,0.048818929629922084,1.5169041853179923,0.820309527432092,0.5170417486546963,0.595137804072239,0.04092263103334125,0.9563220810006907,0.11057469216283367,0.4235862753573642,0.5195815444698617,0.11838021760003337,0.9675787744663964,0.34566271327552933,1.5634765710470289,2.0595142956664483,0.20045342989851644,4.138144022091482,0.3990075353136815,1.449391653387302,1.864124390557702,0.1885040594918942,3.4465064902895435,0.20623734433842444,0.2931325360632292,0.33935686801865633,0.12039351159001106,0.4823748678782387,0.6614237995311423,0.37836855366376587,0.4430281140532104,0.11386297089799566,0.7573433868567037,0.807840157027795,0.4275325092252134,0.6488462888196366,0.0819614161748661,1.5865344783868727,0.5242979365783806,0.2675880766031715,0.37416506222204576,0.08531061662830983,0.9076225721315723,-0.08203499875178433,0.9513324224908668,1.4443639888775976,0.19454768954563106,2.879730911755365,0.4182753026101187,0.9116451295697563,1.3104209001416778,0.19488558304725728,2.444231051567482,0.6601706713730856,0.6046106630644159,0.8103682946627333,0.09641932880464922,1.4785663797719506,0.7420028275199685,1.2415634673013543,1.4722459044149387,0.12139531708816538,2.5149524735094335,0.49381087338939667,0.6818599212104396,0.8041292592601383,0.10387946948060289,1.5588391880810075,0.5550806279079492,2.792831894857776,4.0545351901150894,0.21799073289361617,8.574147499546271,0.846294190145195,0.7580823825278363,0.904840214248287,0.1054406394191265,1.483906211762859
6,RF,0.14707350730895996,0.9145059733867505,0.30522271109735316,0.38661441200592456,0.059001754510982246,0.7452118560664704,0.9390427659840302,3.7263657049203374e-06,4.769488117169133e-06,0.0854705371575678,9.380249287003497e-06,0.95042958433672,7.316134330019365e-05,0.00010464142652843353,0.04196019452712835,0.0002385469700376566,0.7523583215531368,29.568691561642602,33.2100795363152,0.18836280935073924,57.45547566219685,0.4431788532461707,0.33999407224837447,0.43760902831388593,0.10727152388835008,0.8803796220713105,0.848690415719701,0.4158770979075017,0.46541676731466103,0.034593612574856304,0.8280159418291255,0.8806789129292228,0.3125288548819054,0.38817496458597733,0.024679647169564223,0.7769525142468794,0.63124644077864,0.2965626790554481,0.3510342683371425,0.08925461900397794,0.6878965131800139,0.5161227967825033,0.8417691983902514,1.2727904507975702,0.1460583141874695,3.142596247315014,0.7408609975430676,0.8123761192858463,0.9345076108626542,0.15609564267212656,1.6723897325189423,0.9386170522660691,0.08117648707749081,0.09470144454780119,0.038882596534026696,0.16650461270708128,0.8292291202657608,0.317202921728486,0.3891953314822701,0.10603791666609358,0.7737349857290114,0.859690481407101,0.39593335917719497,0.4782965924877563,0.12708966378701986,0.742359927737887,0.4161091281162157,0.290362287733853,0.3434876307282979,0.12890655905879295,0.6320623807966688,0.8478555206140491,0.43790924704654016,0.5559719024464572,0.16154589477992126,0.9355387195577345,0.9181308197123458,0.39622061464132835,0.5281952623357116,0.0933796585772655,1.1172144852216013,0.6054170720073253,0.4659434160300173,0.617763894671504,0.0802361593457154,1.1649488098391654,0.9485692303539266,0.4119761803839119,0.6329023459802239,0.04274125507334636,1.4955915884395932,0.85655982776919,0.3898411514545923,0.4599814049613265,0.06619272625192449,0.909409022814474,0.9025570034426533,1.2103132783853439,1.4811428831849647,0.1457477042278405,2.803694891286181,0.5253293552780297,0.8729244274599397,1.3181853432656754,0.1641732364227452,3.329606459768076
7,RF,0.14595460891723633,0.6619758016908304,0.31285776377954133,0.4452733128535544,0.06157292716875937,1.0440776733390456,0.7394317400047123,4.213515453192577e-06,5.602214184046958e-06,0.09639797062460653,1.2616274126996997e-05,0.8922568493571676,7.515199537359298e-05,8.727739817104087e-05,0.05128332821117207,0.00016031284044028,0.44962061928618946,21.179319951611525,27.326896239597726,0.11992691032032445,58.42896213596896,-0.04103170216995,0.3569227551904588,0.45071548979261233,0.099267278859411,0.8271855014324316,0.7528461439288633,0.4232665827792206,0.5592318620037677,0.03440593601528731,1.048605615523135,0.8583778257707627,0.2739421434887799,0.35217548678792826,0.02150682919345353,0.7559192599170039,-0.4879016417755564,0.32137428802956663,0.374254685384857,0.09484255514662143,0.6189050459267107,-1.3669862390197958,1.7387175826592642,2.104567938006221,0.29647994410020223,4.156657804339864,-1.4239893816239055,1.3472964336466196,1.7882694721745809,0.22924098927403364,3.8763431666462322,-0.32209382636707207,0.2968105147610124,0.3652347490650651,0.12067733862562295,0.7984340583317322,0.7167179816832543,0.32536862480943224,0.37445763953673356,0.11565109306182307,0.635095280222759,0.28064832903779724,0.5312903872480081,0.8020784522292977,0.17471625821383613,1.916157975599913,0.8448064023244739,0.14115866094541862,0.16429929725077883,0.046495925543682766,0.3308269070598846,-1.280220049254312,0.8708178712550083,1.191282309928278,0.23672120563496296,2.362608110373137,0.2952127026104807,0.9898242447690373,1.1300279082690414,0.29472758457630926,1.9735817817291688,0.6670789566791095,0.48734943978337675,0.6960935517092643,0.07739566588604979,1.4801674152824793,0.7285961253648414,0.8385299342413531,1.123385032571531,0.10827042529244846,2.458303146800124,0.8061478849740759,0.34325490944793957,0.4949863718638219,0.0479182302881112,1.2502765416502495,0.6103451965677935,1.5330622268984055,1.8783890927271285,0.1737014030836414,3.785252139023351,0.6437124993514521,0.5340085876352147,0.775228218198067,0.07615804434073631,1.5202021200397215
8,RF,0.14588451385498047,0.9337480029847681,0.22557464732738103,0.2754911392870821,0.05687348228062145,0.48200109036318395,0.9432808229136519,2.642487626176017e-06,3.821699081977328e-06,0.0704312288846541,9.583902531781684e-06,0.9673109160437046,6.806126432368819e-05,7.954539567087487e-05,0.047743726286955904,0.00013012814265900806,0.9685587971685445,8.505688312271976,10.48423680436561,0.05176618629014088,19.99540144094138,0.7002302527834443,0.27582202663236105,0.3601035322489953,0.07144242351053172,0.792928858093382,-0.13107835837816828,0.5097086683782781,0.6715966292106411,0.0416063138598248,1.500174484362189,0.1037922522809156,0.4239790646052157,0.5933848774992222,0.03239301056933077,1.3313066719657503,0.532533194347981,0.28434918656026653,0.40330233089982004,0.08522577822288815,0.7767655387368224,0.8452065875078718,0.4095688104689519,0.6122819016008623,0.0717570505639761,1.3468221605247441,0.9607677590361388,0.25244542303695444,0.34570518922977095,0.050034547963104296,0.748969308007247,0.8799070534829078,0.07849705823582251,0.13319418125725557,0.042031617357402615,0.34684810042994974,0.853366014043466,0.20236926967345095,0.24401128623162238,0.07180160676102285,0.4715321580399343,0.9575925984197455,0.2086214316695113,0.2588976693098342,0.07029301867598253,0.49387679300846,0.9708072767518803,0.0659024325395523,0.08537524648948004,0.024213461208338102,0.16086016092767563,0.47506250606206135,0.2699543667622267,0.38501784571489267,0.10088204413010526,0.8714065329358349,0.38249941866614223,0.500727581557425,0.5913577440770353,0.1976724010030958,1.1161018062523564,0.7980885411339091,0.5771687375352156,0.68299723746059,0.11780312162836842,1.243870201702066,0.9332804471317249,0.6573000691152819,0.7567030171015476,0.10361730498645955,1.2043046269532462,0.9269006236712312,0.33751533545793133,0.41563934182827017,0.06983173428894845,0.7325504838849062,0.7875617178763108,0.9696515537368318,1.1436618251779591,0.1908068021276751,2.2454949951729883,0.864746863094824,0.6300900374986929,0.8529955933893814,0.11636637864650556,1.8789151131594295
9,RF,0.14021968841552734,0.9193797163038868,0.3134644255286651,0.385662503704318,0.0731871613609733,0.6552687379939117,0.9244556749995374,4.591922068360871e-06,6.398121948834101e-06,0.1158214053525666,1.3847265546967612e-05,0.9465852715933326,7.90472656681323e-05,9.770926627081677e-05,0.061752244709645625,0.0002029655765724992,0.8108697524175432,18.12814461671577,22.94350682498211,0.12593331306279615,47.98366153883947,0.5192948438123756,0.2655348622639993,0.3410306703045553,0.08269466889005608,0.6777023813438685,0.7891387510622587,0.42506016357534127,0.5386472489166809,0.03477763120549732,1.0620624792488051,0.9010616461983774,0.32051324561832306,0.36258659564135537,0.02633754408232846,0.5688900911712764,-0.25833503125337787,0.31872320896235473,0.3504886205770348,0.10499177978766919,0.5595183536508266,0.6827578358228905,1.102096139381875,1.7915587908345396,0.16223830475811274,4.681160345871527,0.8222403841825251,0.7112966521177624,1.0413309012023344,0.1133329725282884,2.547699254353743,0.7494981391774551,0.17482846683313116,0.20719959796083995,0.07807175017312354,0.34112682478596534,0.8168899964143946,0.26727955195060576,0.3671375692183265,0.0814187572576965,0.9198730255579317,0.05556220182113358,0.5262372551605847,0.6750243090331097,0.1791329170459715,1.0818889170883725,0.7893812080707232,0.16471978010315003,0.18476969929708903,0.06175535341979589,0.2681281874977244,0.8023234038711966,0.4294528114226368,0.6782669827000737,0.1042409518101248,1.658829189154174,0.5954378827348215,0.7351650469191908,0.998775832544494,0.22520666301008596,2.3719617891930556,0.9027000897792496,0.5212996898503881,0.5818280513407693,0.11010046483814148,1.0575171744738299,0.9354280153958391,0.49961960260153704,0.662937737859413,0.07685639826723024,1.4912952452750456,0.82576535086101,0.4267712550615192,0.6837894270009581,0.06280316857689656,1.7626590883944502,0.8439627934308469,1.3782440861447371,1.9687224645596095,0.21598456217309397,4.508340744669149,0.8588132666878886,0.7043177007502703,1.030987229628161,0.1386789965599296,2.5644582515986922
10,RF,0.1415238380432129,0.7781365476345458,0.5187938579734521,0.639862911508231,0.09745771070682892,1.3676677088353282,0.8031180050232124,6.549609811647012e-06,8.541530103247495e-06,0.1390853592936056,1.5263556434765614e-05,0.9735259292315706,6.302010533163082e-05,7.296290785628984e-05,0.04904060291690806,0.00011330359650590666,0.856458093129426,18.627106281461707,23.958757908771634,0.13593998065017765,47.93000030007042,0.5123368508172236,0.42001431866353667,0.46814360688286144,0.11911959357061563,0.7137830428475107,0.7806955740263921,0.4381807047394799,0.6476364448087821,0.03751500856023814,1.2744019835049158,0.6449217010611932,0.5594067349959788,0.6461403855210234,0.04282846717555818,1.0146854111033914,0.8589329383964373,0.15472229021223172,0.18274350660312086,0.04801271006786845,0.3634466403710581,0.5195537624830429,1.3022048260593313,2.01524296148604,0.18322873588993682,5.20280443814965,0.6223172348291589,1.092916462413551,1.605000020227157,0.1523483760286225,3.369138861810468,0.493904713216069,0.2689192071762807,0.3058577273554321,0.12357273380401951,0.5368521021702879,0.8157199193217183,0.37354159691805044,0.45742727143729606,0.11497399688773,0.8280174905105584,-0.15919049236536398,0.6102972068541959,0.8127005375722087,0.20615570709838493,1.5259298056783308,0.4961341219499048,0.3818231238120711,0.445845265924413,0.13208912042466708,0.7325099033309321,0.4535284944281489,0.896568989947218,1.1920164086586538,0.2549173154853457,2.318046519290305,0.7555183145680275,0.580170355579008,0.8531193599568136,0.14368376990710857,2.1103748663145527,0.746708773732867,0.735176943549998,0.9473148799409787,0.11742078540412107,2.124595474607327,0.5948088335563042,1.5341962679183818,1.9363282241155784,0.2310449677872417,4.058750703278956,0.840940043383225,0.6367312367678941,0.7046556773822029,0.10214353912213774,1.2714573194015877,0.6959816766349669,1.4686932602210332,2.0573493388111994,0.18580609492497202,4.456396128657206,0.9147815436678474,0.5485377622992459,0.8529665825239602,0.07576796244759174,2.022541304042125
