,Unnamed: 0,y,z,alpha,R,Time Step,flow-time,Eloss,Ekin,max-skewness,TVPG,ven-vol,flow-av,flow-mv,WSS,wss-1,wss-2,wss-3,wss-4,wss-5,wss-6,wss-7,wss-8,wss-9,wss-10,wss-11,wss-12,wss-13,wss-14,wss-15,wss-16,wss-17,mv-pressure-drop
13,13,-6.325,52.475,-6.625,4.2625,960.5,2.229157214999979,2.6161468309272013e-05,0.0011429404283428,0.8580719833338283,82.03849753497434,1.212607062439966e-05,1.6792193749451088e-05,-1.4821198704390807e-05,4.124294967262767,2.761545269376557,12.681946387354474,13.112803698063212,2.9318144052696558,6.117272832326503,5.8600391503392055,1.9681321000695209,2.852134144942293,3.204313212022305,2.2798547175753705,3.167014065732409,3.254404160183632,4.182450950659194,6.3868407712259625,4.607834138054838,5.174468565648392,3.628362612033672,585.0774089209909
15,15,-6.225,50.225,0.625,3.8625,960.5,2.229157214999979,2.6178134881744712e-05,0.0012435737278651,0.9011481718973744,144.7650426753165,1.1933686232277995e-05,-1.66276195322257e-05,1.4557196002372191e-05,3.9617582795401263,3.2979417773224804,10.80688881759542,11.34026675260434,2.893612879764283,3.921323986047452,4.027211964882071,2.1560690403619835,2.800637008869101,3.189035900736437,2.60807198814054,2.545874353725596,2.4577186572847918,4.791153270765386,7.289413212982489,5.611176728100558,4.798896862368466,5.113916387617404,503.05853276470737
19,19,-6.025,50.925,-7.875,4.1625,960.5,2.229157214999979,2.5379096150012037e-05,0.0011786765508637,0.8915482610249121,84.62738105057942,1.2043307194206877e-05,-1.682623272734496e-05,1.4770759537062806e-05,4.231661460247397,3.637393214605601,11.719391471227466,12.171774034478936,3.121942642766697,4.700539984405679,4.876179159740667,2.4535827146754854,2.747785508552384,3.5820278422651195,3.1049561186795405,3.688999096727893,4.189223039090452,3.8356677730718745,6.506626222165072,4.794036067327664,5.245984169226573,3.7314624018818514,556.8739260252495
23,23,-5.825,49.325,2.625,4.5875,960.5,2.229157214999979,1.5973062169737377e-05,0.0008390609229106,0.8616509541400421,65.24954997314954,1.196337321401209e-05,-1.7145320580941343e-05,1.5050873553305506e-05,2.952195195931774,2.956499533615116,10.896964555307369,12.087014653130987,2.746783174487924,2.970203085124476,3.226337517187106,1.754745418733198,2.300260489057278,2.4306188416843364,2.513839030790208,2.343758529067245,1.915900527596265,2.90684411875664,3.636415312044835,3.446866536174485,3.0181769790458035,2.6340242947003705,553.7713087943749
24,24,-5.775,51.025,4.375,3.8125,960.5,2.229157214999979,2.535179900161943e-05,0.0011516156870179,0.8653057335304842,142.15220676051092,1.2015335913793922e-05,-1.6621801388138157e-05,1.457540412933608e-05,3.6316061075489374,2.931167383758957,11.329018388472988,11.819118510052297,2.5019376455786166,3.442006033350113,3.526320077254226,1.819806059140022,2.237001598073477,2.524283697748052,2.665507176696249,2.0712711916762605,1.938004625940052,4.959811554220137,6.239121897821142,5.374356741017024,4.809821003885527,5.270816351487061,509.9451355057196
25,25,-5.725,50.975,1.625,3.4625,960.5,2.229157214999979,3.531773762143742e-05,0.0014559955414392,0.8986424002808692,178.74316046273256,1.1937401793998317e-05,-1.63281993669624e-05,1.4318225280252592e-05,4.517738602239778,3.116723690225389,11.561325075327677,12.5779664502698,3.047118461168692,4.464530483963049,4.555498056457627,2.165702058219893,3.028879569306503,3.561862519224453,2.9630771021852533,2.538558468343519,2.782465840632075,6.358939879240451,9.203228599743236,6.292971607114959,5.789749913577252,6.95610781302532,442.8382963737449
26,26,-5.675,51.625,8.625,3.6625,960.5,2.229157214999979,2.977742099288939e-05,0.0012288844951395,0.8648359592585562,145.06677164224848,1.1969395119028518e-05,-1.6478468190354064e-05,1.4440050730795936e-05,4.022456504796841,2.8151786146504585,11.59608400564088,12.195308088736388,2.851526242250765,4.136346522530337,4.08936747085394,2.1058184974941145,2.0388745502462844,2.546778569038291,2.767410260281696,2.222854075974811,2.635240417987477,6.3518666508472,5.9909050293339705,6.092807383976236,5.76365544361266,5.856797636294244,511.0229417922719
28,28,-5.575,49.525,-0.375,3.2875,960.5,2.229157214999979,3.997334206351518e-05,0.001610402781145,0.8860322129233885,214.2911396276505,1.179557071487965e-05,-1.608567257051763e-05,1.4119998775213752e-05,4.902517257863908,3.914632351615569,11.051358719805028,11.624400520657051,3.03517669015283,4.5142959806893,4.887104250651219,2.2650672667049085,3.339264031369685,3.901655107718696,3.1353124465487467,3.0822117438758947,2.9093614990262626,6.407467711167572,10.575021434373555,6.735894804641768,6.470535845414146,7.267964615100146,355.7742787984586
29,29,-5.525,51.675,-4.125,4.5375,960.5,2.229157214999979,1.9211646017379063e-05,0.0009962916358512,0.8649598810827005,77.53854230380975,1.2077762419569852e-05,-1.70454884863798e-05,1.4994792207692849e-05,3.534113894973646,2.97727237308768,11.782445569023375,12.22974243138238,2.9901020647895984,3.878701319066389,3.942433409676251,1.9308032357491929,2.430589598154047,2.784600204260305,2.3508489124625616,3.232274441161725,3.0039174257841657,3.323880887900864,5.172220239231891,4.157714534450936,4.365906421213031,3.14851528396894,586.6539935067433
32,32,-5.375,51.775,9.625,4.4875,960.5,2.229157214999979,1.6768947859326553e-05,0.0008273878872639,0.8731122229095732,104.76145837486068,1.211480050368574e-05,-1.70522768033424e-05,1.495868193521914e-05,2.8428473972503,2.081407733925696,10.785041632638768,11.875698138934364,2.132185382597448,2.6636534733773023,2.523323944247988,1.8754843193370483,1.708478194354665,1.8203315765017785,1.7647257017357836,1.7263520470911873,2.0175351499842096,3.982644668885412,3.835499083283208,3.8032891743267943,4.302258099304846,3.1556436145998528,590.6375869063548
